ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
201345_s_at	9.65e-06	9.38e-07	-6.0765122	5.28062	-4.21e-01	UBE2D2	ubiquitin conjugating enzyme E2 D2
220688_s_at	9.65e-06	9.38e-07	-6.0763564	5.28018	-1.08	MRTO4	MRT4 homolog, ribosome maturation factor
202732_at	9.65e-06	9.38e-07	6.0762927	5.27999	1.06	PKIG	protein kinase (cAMP-dependent, catalytic) inhibitor gamma
59375_at	9.66e-06	9.40e-07	6.0757634	5.27849	1.32	MYO15B	myosin XVB
213686_at	9.68e-06	9.42e-07	6.0750218	5.27637	1.47	VPS13A	vacuolar protein sorting 13 homolog A
202764_at	9.70e-06	9.44e-07	6.0740632	5.27364	9.80e-01	STIM1	stromal interaction molecule 1
218787_x_at	9.74e-06	9.49e-07	-6.072422	5.26897	-6.67e-01	CWF19L1	CWF19-like 1, cell cycle control (S. pombe)
201291_s_at	9.79e-06	9.54e-07	-6.0703728	5.26313	-2.75	TOP2A	topoisomerase (DNA) II alpha
214213_x_at	9.80e-06	9.56e-07	-6.0697926	5.26148	-9.82e-01	LMNA	lamin A/C
204742_s_at	9.86e-06	9.62e-07	6.0676423	5.25535	1.11	PDS5B	PDS5 cohesin associated factor B
212049_at	9.88e-06	9.64e-07	6.0667372	5.25277	7.06e-01	WIPF2	WAS/WASL interacting protein family member 2
219518_s_at	9.98e-06	9.76e-07	6.0626973	5.24126	1.48	ELL3	elongation factor for RNA polymerase II 3
204359_at	9.98e-06	9.76e-07	6.0625775	5.24092	1.17	LOC100506718///FLRT2	uncharacterized LOC100506718///fibronectin leucine rich transmembrane protein 2
201719_s_at	1.00e-05	9.78e-07	6.0618127	5.23874	1.31	EPB41L2	erythrocyte membrane protein band 4.1 like 2
